train_no,train_name,seq,station_code,station_name,arrival_time,departure_time,distance,source_station,destination_station
12301,Train 12301,1,STN1,Station 1,00:00,08:04,0,STN1,STN23
12301,Train 12301,2,STN2,Station 2,09:31,09:36,36,STN1,STN23
12301,Train 12301,3,STN3,Station 3,10:33,10:40,75,STN1,STN23
12301,Train 12301,4,STN4,Station 4,12:06,12:13,116,STN1,STN23
12301,Train 12301,5,STN5,Station 5,13:16,13:18,193,STN1,STN23
12301,Train 12301,6,STN6,Station 6,15:17,15:22,258,STN1,STN23
12301,Train 12301,7,STN7,Station 7,16:09,16:11,325,STN1,STN23
12301,Train 12301,8,STN8,Station 8,17:52,18:00,422,STN1,STN23
12301,Train 12301,9,STN9,Station 9,19:45,19:54,489,STN1,STN23
12301,Train 12301,10,STN10,Station 10,20:37,20:41,586,STN1,STN23
12301,Train 12301,11,STN11,Station 11,21:39,21:44,648,STN1,STN23
12301,Train 12301,12,STN12,Station 12,23:14,23:16,679,STN1,STN23
12301,Train 12301,13,STN13,Station 13,01:02,01:05,720,STN1,STN23
12301,Train 12301,14,STN14,Station 14,01:51,01:58,780,STN1,STN23
12301,Train 12301,15,STN15,Station 15,03:49,03:58,852,STN1,STN23
12301,Train 12301,16,STN16,Station 16,05:12,05:16,922,STN1,STN23
12301,Train 12301,17,STN17,Station 17,07:13,07:20,1017,STN1,STN23
12301,Train 12301,18,STN18,Station 18,08:40,08:50,1064,STN1,STN23
12301,Train 12301,19,STN19,Station 19,09:51,10:01,1144,STN1,STN23
12301,Train 12301,20,STN20,Station 20,11:43,11:46,1197,STN1,STN23
12301,Train 12301,21,STN21,Station 21,12:38,12:44,1281,STN1,STN23
12301,Train 12301,22,STN22,Station 22,13:30,13:36,1381,STN1,STN23
12301,Train 12301,23,STN23,Station 23,15:01,00:00,1422,STN1,STN23
12302,Train 12302,1,STN1,Station 1,00:00,08:05,0,STN1,STN17
12302,Train 12302,2,STN2,Station 2,09:32,09:35,75,STN1,STN17
12302,Train 12302,3,STN3,Station 3,11:03,11:13,105,STN1,STN17
12302,Train 12302,4,STN4,Station 4,11:53,11:56,201,STN1,STN17
12302,Train 12302,5,STN5,Station 5,13:40,13:43,262,STN1,STN17
12302,Train 12302,6,STN6,Station 6,15:34,15:44,346,STN1,STN17
12302,Train 12302,7,STN7,Station 7,17:17,17:22,420,STN1,STN17
12302,Train 12302,8,STN8,Station 8,18:16,18:20,478,STN1,STN17
12302,Train 12302,9,STN9,Station 9,19:50,19:59,570,STN1,STN17
12302,Train 12302,10,STN10,Station 10,21:26,21:33,637,STN1,STN17
12302,Train 12302,11,STN11,Station 11,23:27,23:29,720,STN1,STN17
